GEOID,NAME,Total,Hispanic,White,Black,AmerInd,Asian,PacIsl,Other,Multiracial,White_per,Black_per,Hispanic_per,Asian_per
13081,"Crisp County, Georgia",20128,634,9892,8821,18,180,4,64,515,49.14546899841017,43.82452305246423,3.149841017488076,0.8942766295707472
13087,"Decatur County, Georgia",29367,1911,14280,12200,64,183,16,64,649,48.62600878537133,41.54322879422481,6.507304116865869,0.6231484319133722
13093,"Dooly County, Georgia",11208,797,4611,5540,17,51,2,14,176,41.140256959314776,49.42897930049964,7.110992148465383,0.4550321199143469
13097,"Douglas County, Georgia",144237,16035,49877,68763,335,2313,97,1072,5745,34.57989281529705,47.67362049959441,11.117119740427214,1.6036107240167223
13103,"Effingham County, Georgia",64769,3492,48204,8747,181,677,28,269,3171,74.42449319890689,13.504917475953002,5.391468140622829,1.0452531303555712
13109,"Evans County, Georgia",10774,1237,6038,3083,15,78,11,21,291,56.04232411360683,28.615184703916835,11.481343976239094,0.7239651011694821
13115,"Floyd County, Georgia",98584,11466,67747,13940,191,1287,24,371,3558,68.72007628012659,14.140225594416943,11.630690578592876,1.3054856771889962
13119,"Franklin County, Georgia",23424,1121,19262,1888,34,261,3,79,776,82.23189890710383,8.060109289617486,4.785689890710382,1.1142418032786885
13125,"Glascock County, Georgia",2884,52,2573,196,0,7,2,0,54,89.21636615811373,6.796116504854369,1.8030513176144243,0.24271844660194172
13131,"Grady County, Georgia",26236,3273,14715,7285,89,110,6,86,672,56.08705595365148,27.76719012044519,12.475224881841743,0.4192712303704833
13137,"Habersham County, Georgia",46031,6880,34694,1722,83,990,35,109,1518,75.37094566705048,3.740957181030175,14.946449132106624,2.150724511742087
13141,"Hancock County, Georgia",8735,63,2413,6025,23,37,1,10,163,27.624499141385233,68.97538637664567,0.7212364052661705,0.4235832856325129
13001,"Appling County, Georgia",18444,1825,12674,3339,33,123,1,32,417,68.71611364129257,18.103448275862068,9.894816742572111,0.6668835393623943
13003,"Atkinson County, Georgia",8286,2048,4801,1208,30,12,4,16,167,57.94110547912141,14.578807627323195,24.71638909003138,0.1448225923244026
13005,"Bacon County, Georgia",11140,875,8103,1747,4,40,4,32,335,72.737881508079,15.682226211849192,7.854578096947935,0.3590664272890485
13007,"Baker County, Georgia",2876,143,1514,1128,1,18,0,2,70,52.64255910987483,39.22114047287899,4.972183588317107,0.6258692628650904
13011,"Banks County, Georgia",18035,1164,15578,394,54,189,8,28,620,86.37649015802606,2.1846409758802325,6.454116994732464,1.047962295536457
13013,"Barrow County, Georgia",83505,10560,55582,10141,130,3233,17,459,3383,66.56128375546373,12.144182983054908,12.645949344350637,3.8716244536255315
13017,"Ben Hill County, Georgia",17194,1054,9219,6222,57,116,0,48,478,53.61754100267535,36.18704199139234,6.130045364662092,0.6746539490519948
13021,"Bibb County, Georgia",157346,6737,56787,85234,281,3209,42,602,4454,36.090526610145794,54.16979141509793,4.281646816569853,2.039454450701003
13023,"Bleckley County, Georgia",12583,469,8867,2788,11,153,8,30,257,70.46809186998331,22.156878327902728,3.7272510530080267,1.215926249701979
13027,"Brooks County, Georgia",16301,955,9066,5684,24,67,6,42,457,55.616219863812034,34.8690264400957,5.858536286117416,0.4110177289736826
13029,"Bryan County, Georgia",44738,3269,31321,6330,102,1032,53,184,2447,70.00983503956368,14.14904555411507,7.3069873485627435,2.306763824936296
13033,"Burke County, Georgia",24596,777,11941,10957,45,97,10,66,703,48.54854447877704,44.54789396649862,3.159050252073508,0.39437306879167344
13035,"Butts County, Georgia",25434,803,16628,6808,39,102,9,164,881,65.37705433671464,26.76731933632146,3.157191161437446,0.4010379806558151
13039,"Camden County, Georgia",54768,3658,37203,9497,185,845,66,325,2989,67.9283523225241,17.340417762196903,6.679082676015192,1.5428717499269646
13045,"Carroll County, Georgia",119148,9586,80725,21781,271,1104,21,505,5155,67.75187162184847,18.280625776345385,8.045456071440562,0.9265787088327123
13047,"Catoosa County, Georgia",67872,2341,59280,1808,181,1025,84,133,3020,87.34087694483735,2.663837812352664,3.449139556812824,1.5101956624233852
13051,"Chatham County, Georgia",295291,23790,139433,108011,619,10620,408,1447,10963,47.21884513920167,36.57781645901839,8.056459560230417,3.5964523131419512
13053,"Chattahoochee County, Georgia",9565,1610,5403,1463,35,304,104,55,591,56.487192890747515,15.295347621536854,16.832200731834813,3.1782540512284374
13057,"Cherokee County, Georgia",266620,32111,197867,17326,502,5429,100,1544,11741,74.21311229465157,6.498387217763109,12.043732653214311,2.036231340484585
13059,"Clarke County, Georgia",128671,14336,72201,31367,297,4920,66,980,4504,56.11287702745762,24.3776763994995,11.141593676896893,3.8237054192475384
13063,"Clayton County, Georgia",297595,42546,25902,205301,601,13491,119,1800,7835,8.703775265041415,68.9867101261782,14.296611166182227,4.53334229405736
13067,"Cobb County, Georgia",766149,111240,369182,200072,1289,42533,293,7382,34158,48.186710417947424,26.113980439836116,14.519368947815634,5.5515310990420925
13069,"Coffee County, Georgia",43092,5430,24158,11872,62,299,14,69,1188,56.06144992109905,27.550357374918775,12.600946811473127,0.6938642903555183
13073,"Columbia County, Georgia",156010,11858,99111,27621,354,7102,271,897,8796,63.52861996025896,17.704634318312927,7.600794820844818,4.552272290237806
